"Status","Name","Duration in ms","Description"
"failed","framework.tests.FailedLoginTests.asUserTryToLogInWithIncorrectLoginAndPassword","1190","The goal of this test is to log in using not proper username and password and check if warning message Invalid username or password is displayed"
"passed","framework.tests.PositiveLoginTests.asUserTryToLogInWithCorrectLoginAndPassword","1577","The goal of this test is to log in using proper username and password and check if Dog Banner is displayed after"
